nom_produit,categorie,prix,magasin,date_scraping,url_produit
GERARD BERTRAND AOP Languedoc Côtes-des-Roses rosé Magnum...,Boissons,215903.0,Auchan,2026-04-14,https://www.auchan.sn/vins/6546-gerard-bertrand-aop-languedoc-cotes-des-roses-rose-magnum-magnum-15l-3514123108378.html
BOURGOGNE ALIGOTE BLANC 75CL,Boissons,121906.0,Auchan,2026-04-14,https://www.auchan.sn/vins/1473-bourgogne-aligote-blanc-75cl-3298660032630.html
Auchan eau gazeuse aromatisée au citron 1 l,Boissons,62516.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-gazeuses-aromatisees/4240-auchan-eau-gazeuse-aromatisee-au-citron-1-l-3596710437825.html
Valencia Abtal boisson mangue 200ml,Boissons,22524.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/6281-valencia-abtal-boisson-mangue-200ml-6111251752786.html
VIMTO PET 1L,Boissons,6906.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/1117-vimto-pet-1l-5010438016837.html
Lumière De France Pamplemousse 75CL,Boissons,2290.0,Auchan,2026-04-14,https://www.auchan.sn/vins/3932-lumiere-de-france-pamplemousse-75cl-3700611510208.html
AUCHAN Pur Jus Orange Sans Pepin 1L,Boissons,30903.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2141-auchan-pur-jus-orange-sans-pepin-1l-3596710379903.html
AUCHAN Nectar Pomme/Kiwi Pet 1L,Boissons,17504.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2098-auchan-nectar-pomme-kiwi-pet-1l-3596710335848.html
Mini Présséa Ananas 200ML,Boissons,16543.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-petits-formats-enfants/6898-mini-pressea-ananas-200ml-9501100461544.html
PIERRE CHANAU IGP Sables-de-Camargue rosé 75cl,Boissons,62505.0,Auchan,2026-04-14,https://www.auchan.sn/vins/7599-pierre-chanau-igp-sables-de-camargue-rose-75cl-3254564468777.html
PIERRE CHANAU Pierre Chanau AOP Gaillac rouge 75cl,Boissons,659013.0,Auchan,2026-04-14,https://www.auchan.sn/vins/6867-pierre-chanau-pierre-chanau-aop-gaillac-rouge-75cl-3254566028931.html
EAU SOURCE CRISTALINE 1L5,Boissons,5908.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/101-eau-source-cristaline-1l5-3274080005003.html
San Pellegrino Orange 33Cl,Boissons,9507.0,Auchan,2026-04-14,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/1909-san-pellegrino-orange-33cl-41508800402.html
Eau de Source Pierval 1.5L,Boissons,7905.0,Auchan,2026-04-14,https://www.auchan.sn/eaux-plates/6879-eau-de-source-pierval-15l-3468570928181.html
SUNQUICK ORANGE 84CL,Boissons,299013.0,Auchan,2026-04-14,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/357-sunquick-orange-84cl-5775345138880.html
Pressea nectar cocktail light brique 1L,Boissons,101531.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/909-pressea-nectar-cocktail-light-brique-1l-9501100460264.html
Pressea nectar goyave brique 1L,Boissons,101519.0,Auchan,2026-04-14,https://www.auchan.sn/nectar-jus-de-fruits-legumes/650-pressea-nectar-goyave-brique-1l-9501100460097.html
