nom_produit,categorie,prix,magasin,date_scraping,url_produit
AUCHAN Boisson Peche Light,Boissons,1725.0,Auchan,2026-04-15,https://www.auchan.sn/the-infusion-fruites-glaces/2242-auchan-boisson-peche-light-3596710243914.html
AUCHAN Eau gazeuse au citron vert 1L,Boissons,625.0,Auchan,2026-04-15,https://www.auchan.sn/eaux-gazeuses-aromatisees/7360-auchan-eau-gazeuse-au-citron-vert-1l-3596710437832.html
AUCHAN Jus Ananas Multi Fruit 1L,Boissons,2375.0,Auchan,2026-04-15,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2203-auchan-jus-ananas-multi-fruit-1l-3596710447510.html
AUCHAN Nectar Pomme/Kiwi Pet 1L,Boissons,1750.0,Auchan,2026-04-15,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2098-auchan-nectar-pomme-kiwi-pet-1l-3596710335848.html
AUCHAN PTITE FETE JUS DE POMME PETILLANTE RIK&ROK,Boissons,2675.0,Auchan,2026-04-15,https://www.auchan.sn/boissons-gazeuses-soft-drinks-soda/98830132-auchan-ptite-fete-jus-de-pomme-petillante-rikrok-3254560806016.html
AUCHAN Pur Jus Clementine 1L,Boissons,2575.0,Auchan,2026-04-15,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2260-auchan-pur-jus-clementine-1l-3254566098545.html
AUCHAN Pur Jus Orange Sans Pepin 1L,Boissons,2875.0,Auchan,2026-04-15,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2141-auchan-pur-jus-orange-sans-pepin-1l-3596710379903.html
AUCHAN Sirop Menth Glace 70CL,Boissons,2375.0,Auchan,2026-04-15,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/2193-auchan-sirop-menth-glace-70cl-3596710454549.html
AUCHAN Sirop Peche 60CL,Boissons,2550.0,Auchan,2026-04-15,https://www.auchan.sn/sirops-jus-instantanes-en-poudre/2200-auchan-sirop-peche-60cl-3596710454426.html
Auchan Essentiel nectar multi-fruits brique 1L,Boissons,1450.0,Auchan,2026-04-15,https://www.auchan.sn/nectar-jus-de-fruits-legumes/2290-auchan-essentiel-nectar-multi-fruits-brique-1l-3596710133390.html
