nom_produit,categorie,prix,magasin,date_scraping,url_produit
CARTON CORNICHON BON APPETIT 12*37CL,Epicerie,81607752579962.0,Sakanal,2026-04-14,https://sakanal.sn/fr/acheter-au-prix-gros/7409-carton-cornichon-bon-appetit-1237cl.html
THE LIPTON HETTE FRAISE TEA 25 SACHETS,Epicerie,15801501515482.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34751-the-lipton-hette-fraise-tea-25-sachets.html
BISCUIT BOOM VANILLE 24PCS,Epicerie,15701491515382.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34730-biscuit-boom-vanille-24pcs.html
SAUCE SOJA AUX CHAMPIGNONS SORA SACHET 7ML,Epicerie,55525532.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34727-sauce-soja-aux-champignons-sora-sachet-7ml.html
FLOCONS D'AVOINE COMPLETE NETTO 500G,Epicerie,11001045510782.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34725-flocons-davoine-complete-netto-500g.html
KETCHUP TOMATE NETTO 560G,Epicerie,16801596516462.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34724-ketchup-tomate-netto-560g.html
CEREALE CORN FLAKES NETTO MAIS 8 VITAMINES DORE 500G,Epicerie,24502327524012.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34723-cereale-corn-flakes-netto-mais-8-vitamines-dore-500g.html
CAFE CAPPUCCINO NETTO SAVEUR CHOCOLAT 200G,Epicerie,29502802528912.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34722-cafe-cappuccino-netto-saveur-chocolat-200g.html
BISCUIT NETTO COOKIES PEPITES DE CHOCOLAT TOP BUDGET 200G,Epicerie,17501662517152.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34721-biscuit-netto-cookies-pepites-de-chocolat-top-budget-200g.html
BISCUIT NETTO PALETS BRETONS 125G,Epicerie,12501187512252.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34720-biscuit-netto-palets-bretons-125g.html
MOUHAMSA PASTANORA PLOMB 250G,Epicerie,29027552842.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34716-mouhamsa-pastanora-plomb-250g.html
BONBON HARIBO PEACHES 120G,Epicerie,16801596516462.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34714-bonbon-haribo-peaches-120g.html
BONBON HARIBO POLKA 120G,Epicerie,16801596516462.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34713-bonbon-haribo-polka-120g.html
BONBON HARIBO TAGADA 120G,Epicerie,16801596516462.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34712-bonbon-haribo-tagada-120g.html
BONBON HARIBO D OEUF AU PLAT 120G,Epicerie,16801596516462.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34711-bonbon-haribo-d-oeuf-au-plat-120g.html
CHOCOLAT LINDTLAIT CREATION PRALINE FEUILLANTINE 110G,Epicerie,37503562536752.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34709-chocolat-lindtlait-creation-praline-feuillantine-110g.html
CHOCOLAT LINDT CREATION CARAMEL 150G,Epicerie,32503087531852.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34708-chocolat-lindt-creation-caramel-150g.html
CHOCOLAT LINDT CREATION ROCHER LAIT 150G,Epicerie,32503087531852.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34707-chocolat-lindt-creation-rocher-lait-150g.html
CHOCOLAT LINDT EXCELLENT NOIR CARAMEL 150G,Epicerie,32503087531852.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34706-chocolat-lindt-excellent-noir-caramel-150g.html
CHOCOLAT LINDT L AUTHENTIQUE LAIT EXTRA FIN 100G,Epicerie,26802546526262.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34705-chocolat-lindt-l-authentique-lait-extra-fin-100g.html
CHOCOLAT LINDT L AUTHENTIQUE CHOCOLAT NOIR 100G,Epicerie,26802546526262.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34704-chocolat-lindt-l-authentique-chocolat-noir-100g.html
CHOCOLAT LINDT L AUTHENTIQUE ECLATS DE NOISSETTES 100G,Epicerie,26802546526262.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34703-chocolat-lindt-l-authentique-eclats-de-noissettes-100g.html
CHOCOLAT LINDT L AUTHENTIQUE DOUBLE LAIT 100G,Epicerie,26802546526262.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34702-chocolat-lindt-l-authentique-double-lait-100g.html
FROMAGE EMMENTAL FROMADELLI RAPE 100G,Epicerie,13501282513232.0,Sakanal,2026-04-14,https://sakanal.sn/fr/produits-frais/34701-fromage-emmental-fromadelli-rape-100g.html
BONBON SUCETTE RAMA CREAMY LAIT 100PCS,Epicerie,31052949530422.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34700-bonbon-sucette-rama-creamy-lait-100pcs.html
BISCUIT LIMOSINE 1PCS,Epicerie,50475492.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34692-biscuit-limosine-1pcs.html
SKL POP CORN 250G,Epicerie,65061756372.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34691-skl-pop-corn-250g.html
VERMICELLE PASTA ALNOUR 5KG,Epicerie,45004275544102.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34685-vermicelle-pasta-alnour-5kg.html
CAFE MOULU D EQUILIBRE NOYAUX DE DATTES 500G,Epicerie,24502327524012.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34678-cafe-moulu-d-equilibre-noyaux-de-dattes-250g.html
CAFE MOULU D EQUILIBRE NOYAUX DE DATTES 250G,Epicerie,12501187512252.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34677-cafe-moulu-d-equilibre-noyaux-de-dattes-100g.html
SAUCE PIZZA SULTAN SEAU 500G,Epicerie,15801501515482.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34674-sauce-pizza-sultan-seau-500g.html
CHOCOLAT ORIGINAL NOCILLA 180G,Epicerie,23002185522542.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34671-chocolat-original-nocilla-180g.html
CAFE STICK BONJOURNE BY MR COOK 2GX150PCS,Epicerie,41053899540222.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34667-cafe-stick-bonjourne-by-mr-cook-2gx120pcs.html
KETCHUP BONJOURNE BOUTEILLE 340G,Epicerie,47545154652.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34664-ketchup-bonjourne-bouteille-340g.html
CHOCOLAT EN POUDRE COLA CAO 400G,Epicerie,29502802528912.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34651-chocolat-en-poudre-cola-cao-400g.html
CHOCOLAT EN POUDRE COL CAO 250G,Epicerie,22502137522052.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34650-chocolat-en-poudre-col-cao-250g.html
MIEL HONEY NAURE PURE CLASSY 1KG,Epicerie,37503562536752.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34646-miel-honey-naure-pure-classy-1kg.html
BISCUIT BISCOTTES NETTO NETTO 6 CEREALES 300G,Epicerie,15801501515482.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34643-biscuit-biscottes-netto-netto-6-cereales-300g.html
BISCUIT BISCOTTES NETTO NATURE 300G,Epicerie,15801501515482.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34642-biscuit-biscottes-netto-nature-300g.html
EPICE NOKOSS PASSPARTOUT AMA VIANDE ET POUL ET NON EPICE 300G,Epicerie,18501757518132.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34638-epice-nokoss-passpartout-ama-viande-et-poul-et-non-epice-300g.html
EPICE NOKOSS PASSPARTOUT AMA PIMAIL NON EPICE 300G,Epicerie,18501757518132.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34634-epice-nokoss-passpartout-ama-pimail-non-epice-300g.html
EPICE NOKOSS PASSPARTOUT AMA NON EPICE 300G,Epicerie,18501757518132.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34631-epice-nokoss-passpartout-ama-non-epice-300g.html
CAFE BONJOURNE MR COOK POT 50G,Epicerie,79075057742.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34627-cafe-bonjourne-mr-cook-pot-50g.html
CONFITURE C BON MARMELADE D ORANGE 370G,Epicerie,13501282513232.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34625-confiture-c-bon-marmelade-d-orange-370g.html
CURRY C'BON SACHETS 500G,Epicerie,15801501515482.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34623-curry-cbon-sachets-500g.html
PRINGLES CHEESE CREAM & ONION 165G,Epicerie,14501377514212.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34611-pringles-cheese-cream-onion-165g.html
BISCUITS MARIA COOKI 0% SUCRE 200G,Epicerie,13501282513232.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34539-biscuits-maria-cooki-0-sucre-200g.html
COUSCOUS DALIA FIN 1KG,Epicerie,11001045510782.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34510-couscous-dalia-fin-1kg.html
CARTON COUSCOUS DALIA MOYEN 12*1KG,Epicerie,1.2500118755122502e+16,Sakanal,2026-04-14,https://sakanal.sn/fr/acheter-au-prix-gros/34509-carton-couscous-dalia-moyen-121kg.html
COUSCOUS DALIA MOYEN 1KG,Epicerie,11001045510782.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34508-couscous-dalia-moyen-1kg.html
CARTON MACARONI DALIA PENNE RIGATE 12*500G,Epicerie,1.2630119985123772e+16,Sakanal,2026-04-14,https://sakanal.sn/fr/acheter-au-prix-gros/34507-carton-macaroni-dalia-penne-rigate-12500g.html
MACARONI DALIA PENNE RIGATE 500G,Epicerie,89585058772.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34506-macaroni-dalia-plume-500g.html
CARTON MACARONI DALIA TORSADE 12*500G,Epicerie,1.2630119985123772e+16,Sakanal,2026-04-14,https://sakanal.sn/fr/acheter-au-prix-gros/34505-carton-macaroni-dalia-torsade-12500g.html
MACARONI DALIA TORSADE 500G,Epicerie,89585058772.0,Sakanal,2026-04-14,https://sakanal.sn/fr/epicerie/34504-macaroni-dalia-torsade-500g.html
